,city,fuel_type,body_type,km_driven,transmission,ownerno,model,modelyear,color,price
69,bangalore,Petrol,Hatchback,62139,Manual,1,Maruti Wagon R,2018,Red,550000
70,bangalore,Lpg,Hatchback,74000,Manual,1,Hyundai i10,2013,Grey,365000
71,bangalore,Petrol,Hatchback,26500,Automatic,2,Renault KWID,2016,Red,420000
72,bangalore,Petrol,SUV,10000,Automatic,1,Mahindra XUV300,2022,White,1050000
73,bangalore,Petrol,Hatchback,38197,Manual,1,Honda Brio,2013,Others,394000
74,bangalore,Petrol,Hatchback,23000,Automatic,2,Maruti Baleno,2017,Grey,725000
75,bangalore,Petrol,Hatchback,50000,Manual,1,Maruti Alto K10,2013,Red,240000
76,bangalore,Petrol,SUV,10000,Automatic,1,Renault Kiger,2022,Others,835000
77,bangalore,Petrol,Hatchback,19000,Manual,1,Hyundai Grand i10,2019,Blue,695000
78,bangalore,Petrol,SUV,14000,Automatic,1,Kia Seltos,2020,White,1725000
79,bangalore,Petrol,Hatchback,29268,Manual,1,Hyundai EON,2014,White,330000
80,bangalore,Petrol,Sedan,20000,Automatic,1,Volkswagen Vento,2019,Others,990000
81,bangalore,Petrol,Sedan,30000,Manual,1,Toyota Yaris,2018,Others,750000
82,bangalore,Petrol,Hatchback,64374,Automatic,1,Honda Jazz,2018,Grey,755000
83,bangalore,Diesel,SUV,30000,Manual,1,MG Hector,2021,Others,1750000
84,bangalore,Petrol,Hatchback,43679,Manual,1,Hyundai i10,2010,Silver,271000
85,bangalore,Petrol,SUV,40000,Automatic,1,Hyundai Creta,2018,Others,1280000
86,bangalore,Diesel,Hatchback,40562,Manual,1,Hyundai i20,2012,Red,436000
87,bangalore,Petrol,SUV,26500,Automatic,2,Hyundai Creta,2021,White,1675000
88,bangalore,Petrol,SUV,20000,Automatic,1,Hyundai Venue,2019,Others,1250000
89,bangalore,Diesel,SUV,58600,Automatic,1,Mahindra XUV500,2016,Silver,1350000
90,bangalore,Petrol,SUV,20000,Automatic,1,Hyundai Venue,2019,Others,1250000
91,bangalore,Petrol,Hatchback,65017,Automatic,1,Maruti Celerio,2015,White,475000
92,bangalore,Diesel,Sedan,80000,Automatic,2,BMW 3 Series,2008,Others,600000
93,bangalore,Petrol,SUV,20000,Automatic,1,Kia Seltos,2020,Others,1625000
94,bangalore,Diesel,Sedan,36349,Automatic,1,Skoda Superb,2014,White,1650000
95,bangalore,Petrol,Hatchback,80000,Manual,3,Hyundai i10,2009,Others,249000
96,bangalore,Petrol,SUV,83394,Manual,2,Renault Duster,2014,Red,630000
97,bangalore,Petrol,Hatchback,80000,Manual,3,Hyundai i10,2009,Others,249000
98,bangalore,Petrol,Hatchback,52204,Manual,1,Maruti Alto K10,2017,Silver,385000
99,bangalore,Petrol,Hatchback,110000,Manual,3,Hyundai i20,2012,Red,300000
100,bangalore,Petrol,Hatchback,29813,Manual,2,Maruti Alto 800,2014,Others,276000
101,bangalore,Petrol,Hatchback,30000,Manual,1,Ford Figo,2018,Gray,500000
102,bangalore,Petrol,Hatchback,13345,Automatic,1,Maruti Ignis,2020,White,730000
103,bangalore,Petrol,Hatchback,75000,Manual,1,Hyundai Grand i10,2014,Grey,399000
104,bangalore,Petrol,Hatchback,75523,Manual,2,Hyundai i10,2011,Red,312000
105,bangalore,Diesel,SUV,47000,Manual,1,Mahindra XUV500,2015,Silver,1275000
106,bangalore,Petrol,MUV,28253,Manual,1,Renault Triber,2020,Silver,719000
107,bangalore,Diesel,SUV,50000,Manual,1,Hyundai Creta,2016,White,1260000
108,bangalore,Petrol,Hatchback,90000,Manual,2,Hyundai i10,2010,Others,300000
109,bangalore,Petrol,Hatchback,52571,Manual,1,Hyundai i20,2016,Grey,627000
